test,count,RTF,CPU,CPU_TEMP,GPU,GPU_TEMP,RAM_USED,VRAM_USED
multi-robot,6,1.000277596,"[11.3, 4.5, 54.4, 8.1, 1.9, 0.9, 20.9, 0.0, 14.7, 0.9, 5.4, 1.0, 2.8, 0.9, 4.6, 100.0]",57.375,100,60,2681257984,658
multi-robot,6,0.999999999,"[26.1, 5.5, 5.6, 5.9, 1.8, 1.8, 1.9, 1.8, 0.0, 2.8, 6.1, 1.1, 0.9, 0.9, 19.6, 100.0]",55.625,100,60,2680754176,658
multi-robot,6,0.9990011040000001,"[17.6, 33.3, 9.6, 8.3, 1.9, 1.0, 1.9, 0.9, 8.4, 20.5, 2.8, 23.3, 2.8, 2.8, 18.0, 100.0]",54.0,100,61,2680508416,658
multi-robot,6,0.999349366,"[3.9, 5.6, 5.5, 17.8, 13.2, 2.8, 3.7, 1.9, 2.8, 9.4, 8.1, 26.1, 14.8, 5.5, 7.3, 100.0]",52.5,100,60,2678943744,658
multi-robot,6,0.999828475,"[17.4, 4.5, 25.2, 12.2, 14.4, 9.2, 4.5, 14.5, 2.7, 3.6, 17.8, 14.4, 10.1, 3.6, 2.8, 80.0]",51.375,95,61,2678296576,658
multi-robot,6,1.000282078,"[1.0, 4.5, 0.0, 42.8, 23.2, 100.0, 4.6, 1.9, 0.0, 1.9, 7.1, 2.2, 1.8, 0.0, 26.9, 4.5]",50.75,100,62,2677989376,658
multi-robot,6,0.999057602,"[3.7, 10.0, 6.7, 2.8, 19.1, 100.0, 3.7, 2.8, 4.1, 8.1, 2.8, 25.7, 3.7, 3.7, 7.3, 1.9]",50.375,100,62,2678239232,658
multi-robot,6,0.999020895,"[2.8, 25.9, 10.6, 54.4, 6.5, 100.0, 5.6, 1.9, 3.7, 6.5, 11.6, 14.0, 0.9, 6.5, 3.8, 7.5]",50.5,100,63,2678190080,658
multi-robot,6,0.9999814,"[1.9, 26.6, 4.7, 9.2, 1.0, 100.0, 1.9, 10.6, 8.0, 6.5, 7.4, 12.6, 1.8, 5.5, 0.9, 39.8]",50.875,100,63,2678456320,658
multi-robot,6,0.999234111,"[2.6, 0.9, 19.7, 14.7, 1.7, 63.6, 7.4, 28.4, 3.5, 1.9, 8.7, 2.6, 2.6, 37.6, 16.8, 9.0]",50.75,100,63,2677215232,658
multi-robot,6,0.999630381,"[20.8, 2.8, 6.4, 2.8, 3.7, 1.9, 2.8, 39.0, 7.5, 2.8, 11.2, 10.2, 7.3, 100.0, 1.9, 25.2]",51.0,100,63,2677825536,658
multi-robot,6,0.999822615,"[2.9, 5.6, 15.7, 1.0, 0.9, 1.9, 5.5, 4.5, 5.2, 2.9, 14.0, 17.6, 22.5, 100.0, 21.7, 1.9]",50.625,100,64,2678202368,658
multi-robot,6,0.9992337370000001,"[4.5, 8.2, 20.8, 6.4, 2.7, 43.6, 5.6, 2.8, 1.8, 7.3, 45.8, 5.4, 1.8, 59.6, 25.7, 3.7]",50.5,100,64,2676789248,658
multi-robot,8,0.9991359270000001,"[5.5, 100.0, 3.6, 3.6, 7.8, 46.3, 16.5, 9.1, 2.7, 3.6, 2.7, 2.7, 10.9, 8.9, 24.5, 5.5]",59.0,100,60,2837434368,657
multi-robot,8,0.997490591,"[1.9, 100.0, 0.0, 1.9, 13.1, 23.7, 9.3, 25.9, 0.0, 0.0, 1.9, 0.9, 1.9, 20.2, 5.9, 11.5]",57.375,100,61,2836725760,658
